IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
7.5 based on 444 user ratings,John Leguizamo's Latin History for Morons,/title/tt9777830/, John Leguizamo's Latin History for Morons (2018) 
"6.4 based on 1,339 user ratings","Dana Carvey: Straight White Male, 60",/title/tt6217368/," Dana Carvey: Straight White Male, 60 (2016) (TV Special) "
7.7 based on 992 user ratings,Bumping Mics with Jeff Ross & Dave Attell,/title/tt9203078/, Bumping Mics with Jeff Ross & Dave Attell (2018) (TV Series) 
"7.7 based on 1,340 user ratings",Mike Birbiglia: The New One,/title/tt11163014/, Mike Birbiglia: The New One (2019) (TV Special) 
"7.1 based on 2,052 user ratings",Michael Che Matters,/title/tt6209400/, Michael Che Matters (2016) (TV Special) 
"7.7 based on 1,603 user ratings",Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,/title/tt1188112/, Mike Birbiglia: What I Should Have Said Was Nothing (2008) (TV Special) 
6.2 based on 538 user ratings,Brian Regan: Nunchucks and Flamethrowers,/title/tt7679532/, Brian Regan: Nunchucks and Flamethrowers (2017) (TV Special) 
"7.3 based on 3,223 user ratings",Trevor Noah: Son of Patricia,/title/tt9170648/, Trevor Noah: Son of Patricia (2018) (TV Special) 
"6.5 based on 1,219 user ratings",Iliza Shlesinger: Unveiled,/title/tt11163008/, Iliza Shlesinger: Unveiled (2019) (TV Special) 
"7.5 based on 2,819 user ratings",Donald Glover: Weirdo,/title/tt2345525/, Donald Glover: Weirdo (2012) (TV Special) 
6.8 based on 895 user ratings,Colin Quinn: The New York Story,/title/tt6257714/, Colin Quinn: The New York Story (2016) (TV Special) 
7.1 based on 769 user ratings,Jeff Dunham: All Over the Map,/title/tt4209802/, Jeff Dunham: All Over the Map (2014) (TV Special) 
6.1 based on 381 user ratings,DeRay Davis: How to Act Black,/title/tt7288084/, DeRay Davis: How to Act Black (2017) (TV Special) 
"7.0 based on 2,127 user ratings",Chelsea Peretti: One of the Greats,/title/tt3804556/, Chelsea Peretti: One of the Greats (2014) (TV Special) 
"8.0 based on 6,642 user ratings",John Mulaney: The Comeback Kid,/title/tt5069564/, John Mulaney: The Comeback Kid (2015) (TV Special) 
5.9 based on 342 user ratings,Jeff Garlin: Our Man In Chicago,/title/tt11108064/, Jeff Garlin: Our Man in Chicago (2019) (TV Special) 
"8.4 based on 4,746 user ratings",Bill Burr: Let It Go,/title/tt1717578/, Bill Burr: Let It Go (2010) (TV Special) 
5.6 based on 73 user ratings,Natalia Valdebenito: Gritona,/title/tt7160286/, Natalia Valdebenito: Gritona (2017) (TV Special) 
6.9 based on 451 user ratings,Kathleen Madigan: Bothering Jesus,/title/tt6264486/, Kathleen Madigan: Bothering Jesus (2016) (Video) 
"7.7 based on 1,581 user ratings",Katt Williams: The Pimp Chronicles: Pt. 1,/title/tt0865482/, Katt Williams: The Pimp Chronicles Pt. 1 (2006) (TV Special) 
"7.4 based on 1,689 user ratings",Marc Maron: Thinky Pain,/title/tt3004634/, Marc Maron: Thinky Pain (2013) (TV Special) 
6.8 based on 55 user ratings,Sommore: The Reign Continues,/title/tt4172758/, Sommore: The Reign Continues (2015) (TV Special) 
4.1 based on 321 user ratings,A Russell Peters Christmas,/title/tt2128408/, A Russell Peters Christmas Special (2011) (TV Special) 
"7.3 based on 3,607 user ratings",Aziz Ansari: Buried Alive,/title/tt2836450/, Aziz Ansari: Buried Alive (2013) (TV Special) 
"7.3 based on 2,128 user ratings","Norm Macdonald: Hitler's Dog, Gossip & Trickery",/title/tt6878486/," Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017) (TV Special) "
6.4 based on 721 user ratings,Hari Kondabolu: Warn Your Relatives,/title/tt8342748/, Hari Kondabolu: Warn Your Relatives (2018) (TV Special) 
"7.5 based on 5,620 user ratings",Ali Wong: Baby Cobra,/title/tt5066574/, Ali Wong: Baby Cobra (2016) (TV Special) 
6.0 based on 209 user ratings,A Little Help with Carol Burnett,/title/tt7204366/, A Little Help with Carol Burnett (2018) (TV Series) 
"6.8 based on 3,196 user ratings",Sarah Silverman A Speck of Dust,/title/tt6948354/, Sarah Silverman: A Speck of Dust (2017) (TV Special) 
"5.3 based on 1,500 user ratings",Historical Roasts,/title/tt9169602/, Historical Roasts (2019) (TV Series) 
"5.2 based on 1,784 user ratings",The Break with Michelle Wolf,/title/tt8010342/, The Break with Michelle Wolf (2018) (TV Series) 
"7.1 based on 2,151 user ratings",Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,/title/tt8075256/, Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life (2018) (TV Special) 
"6.6 based on 1,090 user ratings",Tig Notaro Happy To Be Here,/title/tt8342946/, Tig Notaro: Happy To Be Here (2018) (TV Special) 
"6.8 based on 1,365 user ratings",Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),/title/tt4703660/, Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine) (2015) (TV Special) 
"7.1 based on 1,468 user ratings",Wanda Sykes: Not Normal,/title/tt9169592/, Wanda Sykes: Not Normal (2019) (TV Special) 
6.0 based on 875 user ratings,Maria Bamford: Old Baby,/title/tt6264596/, Maria Bamford: Old Baby (2017) (TV Special) 
6.7 based on 911 user ratings,Katt Williams: American Hustle (The Movie),/title/tt1135090/, Katt Williams: American Hustle (2007) (Video) 
